ds,yhat1
03-08-2023,31.26716232
04-08-2023,31.19868851
05-08-2023,31.25713158
06-08-2023,31.36261368
07-08-2023,31.18761444
08-08-2023,31.28449059
09-08-2023,31.48711014
10-08-2023,31.30129623
11-08-2023,31.24330902
12-08-2023,31.31237221
13-08-2023,31.42859459
14-08-2023,31.26443672
15-08-2023,31.37221909
16-08-2023,31.58577728
17-08-2023,31.41088867
18-08-2023,31.36376572
19-08-2023,31.443573
20-08-2023,31.57036209
21-08-2023,31.4165287
22-08-2023,31.53433037
23-08-2023,31.75753593
24-08-2023,31.59185791
25-08-2023,31.55344391
26-08-2023,31.64139366
27-08-2023,31.77570152
28-08-2023,31.6287117
29-08-2023,31.75262833
30-08-2023,31.98117638
31-08-2023,31.82003403
01-09-2023,31.78531647
02-09-2023,31.87611389
03-09-2023,32.01239395
04-09-2023,31.86650085
05-09-2023,31.99064636
06-09-2023,32.21857071
07-09-2023,32.05597687
08-09-2023,32.01901627
09-09-2023,32.10680771
10-09-2023,32.2393837
11-09-2023,32.08914185
12-09-2023,32.20836258
13-09-2023,32.4308548
14-09-2023,32.26239777
15-09-2023,32.21922302
16-09-2023,32.30055237
17-09-2023,32.4264946
18-09-2023,32.26954269
19-09-2023,32.38206863
20-09-2023,32.59797287
21-09-2023,32.42312622
22-09-2023,32.37385559
23-09-2023,32.44945145
24-09-2023,32.57011032
25-09-2023,32.40839386
26-09-2023,32.51674271
27-09-2023,32.72911835
28-09-2023,32.55142975
29-09-2023,32.50005341
30-09-2023,32.57429886
01-10-2023,32.69438934
02-10-2023,32.53288651
03-10-2023,32.64222717
04-10-2023,32.85635376
05-10-2023,32.68115997
06-10-2023,32.63295746
07-10-2023,32.71102524
08-10-2023,32.83550644
09-10-2023,32.67890167
10-10-2023,32.79356003
11-10-2023,33.01332855
12-10-2023,32.84399796
13-10-2023,32.80177307
14-10-2023,32.88581848
15-10-2023,33.01615524
16-10-2023,32.8651619
17-10-2023,32.98505402
18-10-2023,33.20955658
19-10-2023,33.04432678
20-10-2023,33.00545502
21-10-2023,33.09196472
22-10-2023,33.22377014
23-10-2023,33.07313156
24-10-2023,33.19216156
25-10-2023,33.41448212
26-10-2023,33.2456665
27-10-2023,33.20172119
28-10-2023,33.2816124
29-10-2023,33.40519714
30-10-2023,33.24469757
31-10-2023,33.35219574
01-11-2023,33.56131363
02-11-2023,33.37762451
03-11-2023,33.31715393
04-11-2023,33.37891006
05-11-2023,33.48279953
06-11-2023,33.30110931
07-11-2023,33.38601685
08-11-2023,33.57122421
09-11-2023,33.36242676
10-11-2023,33.27577972
11-11-2023,33.31041718
12-11-2023,33.38640594
13-11-2023,33.17618561
14-11-2023,33.23209381
15-11-2023,33.38803101
16-11-2023,33.14985657
17-11-2023,33.03390884
18-11-2023,33.03952408
19-11-2023,33.08694839
20-11-2023,32.84881973
21-11-2023,32.87766266
22-11-2023,33.00756073
23-11-2023,32.7445488
24-11-2023,32.60514832
25-11-2023,32.58885574
26-11-2023,32.61607361
27-11-2023,32.35958099
28-11-2023,32.37203979
29-11-2023,32.4876442
30-11-2023,32.21255112
01-12-2023,32.06335449
02-12-2023,32.0396347
03-12-2023,32.06184769
04-12-2023,31.80281639
05-12-2023,31.8152256
06-12-2023,31.93327332
07-12-2023,31.66310501
08-12-2023,31.52129364
09-12-2023,31.50736809
10-12-2023,31.54172707
11-12-2023,31.29711533
12-12-2023,31.3261261
13-12-2023,31.46285629
14-12-2023,31.21333313
15-12-2023,31.09399796
16-12-2023,31.10424042
17-12-2023,31.16431046
18-12-2023,30.94680023
19-12-2023,31.00414276
20-12-2023,31.17026138
21-12-2023,30.95101547
22-12-2023,30.86267853
23-12-2023,30.90446472
24-12-2023,30.99645996
25-12-2023,30.81108093
26-12-2023,30.90060043
27-12-2023,31.09878922
28-12-2023,30.91135025
29-12-2023,30.85441971
30-12-2023,30.92707253
31-12-2023,31.04927444
