ds,yhat1
03-08-2023,34.90790176
04-08-2023,34.76358414
05-08-2023,34.92138672
06-08-2023,35.0568428
07-08-2023,34.90205002
08-08-2023,34.98796844
09-08-2023,35.13844299
10-08-2023,35.09329224
11-08-2023,34.95075989
12-08-2023,35.1093483
13-08-2023,35.24467087
14-08-2023,35.08891678
15-08-2023,35.17311859
16-08-2023,35.32120514
17-08-2023,35.27307892
18-08-2023,35.12705994
19-08-2023,35.28171921
20-08-2023,35.41274261
21-08-2023,35.252388
22-08-2023,35.33174515
23-08-2023,35.47480774
24-08-2023,35.42153168
25-08-2023,35.27027512
26-08-2023,35.41967392
27-08-2023,35.54544449
28-08-2023,35.37987518
29-08-2023,35.45410538
30-08-2023,35.59214401
31-08-2023,35.53397369
01-09-2023,35.37798309
02-09-2023,35.5228157
03-09-2023,35.64420319
04-09-2023,35.47445679
05-09-2023,35.54471207
06-09-2023,35.67899323
07-09-2023,35.61728287
08-09-2023,35.45797348
09-09-2023,35.59970856
10-09-2023,35.71822739
11-09-2023,35.54582596
12-09-2023,35.61364746
13-09-2023,35.74571228
14-09-2023,35.68199921
15-09-2023,35.52089691
16-09-2023,35.66104507
17-09-2023,35.77817154
18-09-2023,35.60457611
19-09-2023,35.67139816
20-09-2023,35.80264282
21-09-2023,35.73828506
22-09-2023,35.57670975
23-09-2023,35.71655273
24-09-2023,35.83353043
25-09-2023,35.65993881
26-09-2023,35.72689819
27-09-2023,35.85842133
28-09-2023,35.7944603
29-09-2023,35.63339615
30-09-2023,35.77384186
01-10-2023,35.89151001
02-10-2023,35.71867371
03-10-2023,35.78644562
04-10-2023,35.91880798
05-10-2023,35.85570526
06-10-2023,35.69548416
07-10-2023,35.83673859
08-10-2023,35.95516205
09-10-2023,35.78299713
10-10-2023,35.85132217
11-10-2023,35.98409653
12-10-2023,35.92123413
13-10-2023,35.76104736
14-10-2023,35.90210724
15-10-2023,36.02006149
16-10-2023,35.84712601
17-10-2023,35.91435242
18-10-2023,36.04565811
19-10-2023,35.98092651
20-10-2023,35.81845093
21-10-2023,35.95676422
22-10-2023,36.07149506
23-10-2023,35.8948288
24-10-2023,35.957798
25-10-2023,36.08430862
26-10-2023,36.01422882
27-10-2023,35.84583282
28-10-2023,35.97765732
29-10-2023,36.08532715
30-10-2023,35.90103149
31-10-2023,35.95581055
01-11-2023,36.07358551
02-11-2023,35.99424744
03-11-2023,35.81610107
04-11-2023,35.93770218
05-11-2023,36.03471375
06-11-2023,35.83938217
07-11-2023,35.88278198
08-11-2023,35.98889542
09-11-2023,35.89766693
10-11-2023,35.70746231
11-11-2023,35.81691742
12-11-2023,35.90175629
13-11-2023,35.69430542
14-11-2023,35.72571945
15-11-2023,35.82005692
16-11-2023,35.71735001
17-11-2023,35.51605225
18-11-2023,35.61486816
19-11-2023,35.68963242
20-11-2023,35.47273254
21-11-2023,35.49541855
22-11-2023,35.58182526
23-11-2023,35.47206497
24-11-2023,35.26465988
25-11-2023,35.35839462
26-11-2023,35.42915726
27-11-2023,35.20939636
28-11-2023,35.23041916
29-11-2023,35.31639862
30-11-2023,35.20748901
01-12-2023,35.00224304
02-12-2023,35.09946442
03-12-2023,35.17505264
04-12-2023,34.96146774
05-12-2023,34.99000168
06-12-2023,35.08482361
07-12-2023,34.98605347
08-12-2023,34.79221344
09-12-2023,34.90206909
10-12-2023,34.99147034
11-12-2023,34.79281235
12-12-2023,34.83732224
13-12-2023,34.94909668
14-12-2023,34.86817169
15-12-2023,34.69298172
16-12-2023,34.82219696
17-12-2023,34.93156433
18-12-2023,34.75338745
19-12-2023,34.81877518
20-12-2023,34.95171738
21-12-2023,34.89213943
22-12-2023,34.73836517
23-12-2023,34.88895798
24-12-2023,35.01954651
25-12-2023,34.86232758
26-12-2023,34.94830704
27-12-2023,35.10137558
28-12-2023,35.06136322
29-12-2023,34.92650223
30-12-2023,35.09526443
31-12-2023,35.24321365
