,ds,y
46155,19-08-2018,31.5
46156,20-08-2018,27.9
46157,21-08-2018,24.2
46158,22-08-2018,30.7
46159,23-08-2018,33.2
46160,24-08-2018,32.6
46161,25-08-2018,33.5
46162,26-08-2018,33.1
46163,27-08-2018,29.5
46164,28-08-2018,30
46165,29-08-2018,31.5
46166,30-08-2018,34.2
46167,31-08-2018,34.2
46168,09-01-2018,31.8
46169,09-02-2018,33.8
46170,09-03-2018,33.8
46171,09-04-2018,35.5
46172,09-05-2018,34.1
46173,09-06-2018,33.1
46174,09-07-2018,32.6
46175,09-08-2018,31
46176,09-09-2018,34.1
46177,09-10-2018,35.5
46178,09-11-2018,35.8
46179,09-12-2018,36
46180,13-09-2018,33.8
46181,14-09-2018,35.5
46182,15-09-2018,35.7
46183,16-09-2018,36.1
46184,17-09-2018,35.1
46185,18-09-2018,35
46186,19-09-2018,35.4
46187,20-09-2018,33.8
46188,21-09-2018,33.5
46189,22-09-2018,23.5
46190,23-09-2018,33
46191,24-09-2018,34.4
46192,25-09-2018,36
46193,26-09-2018,35.2
46194,27-09-2018,33.4
46195,28-09-2018,35.2
46196,29-09-2018,35.1
46197,30-09-2018,36.1
46198,10-01-2018,36.1
46199,10-02-2018,35.5
255999,10-03-2018,34.3
256000,10-04-2018,35
256001,10-05-2018,35.8
256002,10-06-2018,35.5
256003,10-07-2018,34.8
256004,10-08-2018,35.1
256005,10-09-2018,34.3
256006,10-10-2018,34.3
256007,10-11-2018,35.2
256008,10-12-2018,32.4
256009,13-10-2018,32.8
256010,14-10-2018,35
256011,15-10-2018,33.9
256012,16-10-2018,33.5
256013,17-10-2018,33.8
256014,18-10-2018,34.6
256015,19-10-2018,35.5
256016,20-10-2018,35.1
256017,21-10-2018,35.1
256018,22-10-2018,35.4
256019,23-10-2018,36.3
256020,24-10-2018,35.7
256021,25-10-2018,33.7
256022,26-10-2018,35.1
256023,27-10-2018,34.3
256024,28-10-2018,34.7
256025,29-10-2018,33.9
256026,30-10-2018,32.2
256027,31-10-2018,32.9
256028,11-01-2018,32.6
256029,11-02-2018,34.2
256030,11-03-2018,34.2
256031,11-04-2018,35.5
256032,11-05-2018,36.1
256033,11-06-2018,36.6
256034,11-07-2018,36.4
256035,11-08-2018,35.5
256036,11-09-2018,35.5
256037,11-10-2018,34.9
256038,11-11-2018,34.5
256039,11-12-2018,34
256040,13-11-2018,33.1
256041,14-11-2018,34.1
256042,15-11-2018,33.4
256043,16-11-2018,34.4
256044,17-11-2018,34.9
256045,18-11-2018,35
256046,19-11-2018,34.6
256047,20-11-2018,34.8
256048,21-11-2018,32.6
256049,22-11-2018,34.4
256050,23-11-2018,34
256051,24-11-2018,32.1
256052,25-11-2018,33
256053,26-11-2018,32.5
256054,27-11-2018,31.2
256055,28-11-2018,32.1
256056,29-11-2018,31.6
256057,30-11-2018,33.2
256058,12-01-2018,31.3
256059,12-02-2018,30.4
256060,12-03-2018,31.3
256061,12-04-2018,29.3
256062,12-05-2018,31.8
256063,12-06-2018,32.7
256064,12-07-2018,31.9
256065,12-08-2018,32.8
256066,12-09-2018,31.8
256067,12-10-2018,32.3
256068,12-11-2018,32
256069,12-12-2018,30.3
256070,13-12-2018,30.6
256071,14-12-2018,29.5
256072,15-12-2018,26.3
256073,16-12-2018,29
256074,17-12-2018,28.3
256075,18-12-2018,20.2
256076,19-12-2018,21.9
256077,20-12-2018,27.9
256078,21-12-2018,27.8
256079,22-12-2018,29.6
256080,23-12-2018,30.2
256081,24-12-2018,29.5
256082,25-12-2018,29.4
256083,26-12-2018,30.8
256084,27-12-2018,32.1
256085,28-12-2018,29.1
256086,29-12-2018,27.3
256087,30-12-2018,26.8
256088,31-12-2018,28.8
339192,01-01-2019,28.3
339193,01-02-2019,29.5
339194,01-03-2019,31.2
339195,01-04-2019,30.9
339196,01-05-2019,31.2
339197,01-06-2019,30.7
339198,01-07-2019,29.4
339199,01-08-2019,30
339200,01-09-2019,28.4
339201,01-10-2019,30.3
339202,01-11-2019,30.7
339203,01-12-2019,30.6
339204,13-01-2019,30.4
339205,14-01-2019,31.4
339206,15-01-2019,29.9
339207,16-01-2019,29.8
339208,17-01-2019,30.5
339209,18-01-2019,31.2
339210,19-01-2019,31.9
339211,20-01-2019,31.2
339212,21-01-2019,32
339213,22-01-2019,32.9
339214,23-01-2019,32.8
339215,24-01-2019,30.6
339216,25-01-2019,30.2
339217,26-01-2019,31
339218,27-01-2019,25.1
339219,28-01-2019,21.9
339220,29-01-2019,25
339221,30-01-2019,26.4
339222,31-01-2019,27.8
339223,02-01-2019,29.8
339224,02-02-2019,30.2
339225,02-03-2019,29.6
339226,02-04-2019,31
339227,02-05-2019,32.3
339228,02-06-2019,32.2
339229,02-07-2019,32.9
339230,02-08-2019,34
339231,02-09-2019,30.9
339232,02-10-2019,28
339233,02-11-2019,29.4
339234,02-12-2019,31.5
339235,13-02-2019,31.4
339236,14-02-2019,33.2
339237,15-02-2019,32.3
339238,16-02-2019,35.5
339239,17-02-2019,33.5
339240,18-02-2019,31.9
339241,19-02-2019,33.6
339242,20-02-2019,34.7
339243,21-02-2019,35.3
339244,22-02-2019,35.7
339245,23-02-2019,37.3
339246,24-02-2019,37
339247,25-02-2019,38.1
339248,26-02-2019,38.8
339249,27-02-2019,33.8
339250,28-02-2019,34.6
339251,03-01-2019,34.5
339252,03-02-2019,33.3
339253,03-03-2019,36
339254,03-04-2019,37.4
339255,03-05-2019,38.3
339256,03-06-2019,37.2
339257,03-07-2019,36.4
339258,03-08-2019,34.7
339259,03-09-2019,36
339260,03-10-2019,37.7
339261,03-11-2019,37.6
339262,03-12-2019,38.8
339263,13-03-2019,36.5
339264,14-03-2019,38.6
339265,15-03-2019,39.2
339266,16-03-2019,39.8
339267,17-03-2019,37
339268,18-03-2019,37.8
339269,19-03-2019,35.7
339270,20-03-2019,37.4
339271,21-03-2019,36.9
339272,22-03-2019,38.1
339273,23-03-2019,36.4
339274,24-03-2019,37.7
339275,25-03-2019,37.8
339276,26-03-2019,37.8
339277,27-03-2019,39.3
339278,28-03-2019,37.8
339279,29-03-2019,37.3
339280,30-03-2019,39.2
339281,31-03-2019,41.1
418642,04-01-2019,42.9
418643,04-02-2019,41
418644,04-03-2019,39.1
418645,04-04-2019,37.5
418646,04-05-2019,38.9
418647,04-06-2019,39.7
418648,04-07-2019,41.9
418649,04-08-2019,41.7
418650,04-09-2019,42.2
418651,04-10-2019,40.3
418652,04-11-2019,42
418653,04-12-2019,43.6
418654,13-04-2019,42.6
418655,14-04-2019,41.6
418656,15-04-2019,44
418657,16-04-2019,42.6
418658,17-04-2019,41.1
418659,18-04-2019,39.8
418660,19-04-2019,40.6
418661,20-04-2019,40.4
418662,21-04-2019,40
418663,22-04-2019,40.4
418664,23-04-2019,40.1
418665,24-04-2019,41.4
418666,25-04-2019,42.9
418667,26-04-2019,42.5
418668,27-04-2019,42.1
418669,28-04-2019,42.8
418670,29-04-2019,44.9
418671,30-04-2019,44.6
418672,05-01-2019,43.3
418673,05-02-2019,43.4
418674,05-03-2019,44.8
418675,05-04-2019,43.2
418676,05-05-2019,43.6
418677,05-06-2019,44.7
418678,05-07-2019,44.6
418679,05-08-2019,45.1
418680,05-09-2019,44.4
418681,05-10-2019,44.4
418682,05-11-2019,44.2
418683,05-12-2019,42.2
418684,13-05-2019,41.7
418685,14-05-2019,41.7
418686,15-05-2019,43.9
418687,16-05-2019,41.9
418688,17-05-2019,42.8
418689,18-05-2019,44.3
418690,19-05-2019,43.5
418691,20-05-2019,44.4
418692,21-05-2019,44.4
418693,22-05-2019,44.9
418694,23-05-2019,44.2
418695,24-05-2019,44.4
418696,25-05-2019,44.4
418697,26-05-2019,44.8
418698,27-05-2019,46.6
418699,28-05-2019,45.5
418700,29-05-2019,45.3
418701,30-05-2019,45.7
418702,31-05-2019,42.4
469165,06-01-2019,44.2
469166,06-02-2019,39.2
469167,06-03-2019,44.3
469168,06-04-2019,44.4
469169,06-05-2019,42.6
469170,06-06-2019,44.4
469171,06-07-2019,44
469172,06-08-2019,43.4
469173,06-09-2019,38.9
469174,06-10-2019,44.2
469175,06-11-2019,44.6
469176,06-12-2019,43.4
469177,13-06-2019,43
469178,14-06-2019,40
469179,15-06-2019,40.7
469180,16-06-2019,40.5
469181,17-06-2019,40.8
469182,18-06-2019,37.8
469183,19-06-2019,39.7
469184,20-06-2019,40
469185,21-06-2019,38.5
469186,22-06-2019,35.2
469187,23-06-2019,33.2
469188,24-06-2019,34.5
469189,25-06-2019,36.8
469190,26-06-2019,36.8
469191,27-06-2019,38.6
469192,28-06-2019,37.7
469193,29-06-2019,35.5
469194,30-06-2019,31.2
495609,07-01-2019,30.4
495610,07-02-2019,32.3
495611,07-03-2019,31.9
495612,07-04-2019,30.8
495613,07-05-2019,35.6
495614,07-06-2019,34
495615,07-07-2019,32.5
495616,07-08-2019,34.1
495617,07-09-2019,34.4
495618,07-10-2019,34.4
495619,07-11-2019,36.3
495620,07-12-2019,33.1
495621,13-07-2019,34.9
495622,14-07-2019,35.8
495623,15-07-2019,36
495624,16-07-2019,36.8
495625,17-07-2019,37.8
495626,18-07-2019,37.9
495627,19-07-2019,37.8
495628,20-07-2019,37
495629,21-07-2019,33.5
495630,22-07-2019,35.3
495631,23-07-2019,35.4
495632,24-07-2019,35.9
